model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
LogisticRegression,5,0.9199999999999999,0.0979795897113271,0.9266666666666665,0.09043106644167025,0.9183333333333333,0.10005554013202421,20,excitatory
RandomForest,40,0.9199999999999999,0.0979795897113271,0.9266666666666665,0.09043106644167026,0.9183333333333333,0.10005554013202421,20,excitatory
LogisticRegression,2,0.9177777777777777,0.07555555555555554,0.9216666666666666,0.0674124947205223,0.9164213564213564,0.07607595573655775,20,excitatory
RandomForest,2,0.9177777777777777,0.07555555555555554,0.9216666666666666,0.0674124947205223,0.9164213564213564,0.07607595573655775,20,excitatory
RandomForest,10,0.9,0.06324555320336757,0.9066666666666666,0.05333333333333335,0.8993939393939394,0.06324748906456401,20,excitatory
RandomForest,20,0.9,0.06324555320336757,0.9066666666666666,0.05333333333333335,0.8993939393939394,0.06324748906456401,20,excitatory
LogisticRegression,10,0.9,0.10954451150103324,0.9033333333333333,0.10974718422102886,0.8936618936618936,0.12045716498341921,20,excitatory
LogisticRegression,20,0.9,0.08944271909999157,0.9,0.08944271909999157,0.8964646464646465,0.09317805417926811,20,excitatory
ExtraTrees,3,0.8800000000000001,0.11661903789690603,0.89,0.10198039027185568,0.8775252525252526,0.11868686868686865,20,excitatory
ExtraTrees,20,0.8800000000000001,0.0748331477354788,0.8866666666666667,0.06863753427324668,0.8779292929292929,0.07655399554067378,20,excitatory
ExtraTrees,2,0.8777777777777779,0.09762614505106133,0.885,0.08,0.8756132756132755,0.0985239286273102,20,excitatory
ExtraTrees,5,0.8600000000000001,0.14966629547095767,0.8733333333333334,0.12719189352225943,0.8547979797979798,0.1560761327309338,20,excitatory
ExtraTrees,40,0.8600000000000001,0.10198039027185571,0.8633333333333335,0.10349449797506685,0.851995226995227,0.11221793162760692,20,excitatory
LogisticRegression,40,0.857777777777778,0.10120264477098401,0.8600000000000001,0.10198039027185571,0.849975024975025,0.11144196508040961,20,excitatory
ExtraTrees,10,0.8400000000000001,0.10198039027185571,0.8466666666666667,0.1002219758558194,0.8338639138639138,0.11034452518175016,20,excitatory
ExtraTrees,40,0.7336898395721925,0.09306349372180185,0.8192207792207793,0.06281272258699418,0.6945909539017394,0.08380543545286748,22,__NA__
RandomForest,20,0.7454545454545455,0.0847116888843299,0.7982010582010581,0.09950860294911501,0.7009251956688392,0.10946242160980339,22,__NA__
RandomForest,40,0.7397504456327987,0.05949489935215197,0.7841558441558442,0.06972026959515812,0.6833671739735813,0.057727145370083666,22,__NA__
ExtraTrees,20,0.7160427807486631,0.12404111900902115,0.7519191919191919,0.05465123655053678,0.6591911230078125,0.10651415923466108,22,__NA__
ExtraTrees,10,0.7215686274509803,0.0675261778734218,0.7405291005291004,0.09936942173266622,0.6561529837145175,0.07536401095733218,22,__NA__
LogisticRegression,3,0.674331550802139,0.06003611636657191,0.7384992784992785,0.09849187694901723,0.6282188484362398,0.08067661006102642,22,__NA__
LogisticRegression,40,0.7452762923351159,0.07905360051476149,0.7384126984126984,0.07905695928279667,0.6824971127986996,0.08511050142162885,22,__NA__
RandomForest,10,0.7513368983957219,0.048483537782430496,0.7338239538239539,0.14137867185151837,0.6701316595704114,0.09035655633426787,22,__NA__
ExtraTrees,3,0.650445632798574,0.06810668911948405,0.7191053391053391,0.10032461879571639,0.6085511805480845,0.0923763516342713,22,__NA__
LogisticRegression,5,0.697860962566845,0.03769958659254455,0.704906204906205,0.14573761492639975,0.6219594308585211,0.09147425537217067,22,__NA__
LogisticRegression,10,0.7221033868092691,0.05020412956012662,0.6914862914862915,0.10346137202256842,0.62874632644516,0.06448766547837245,22,__NA__
LogisticRegression,20,0.727807486631016,0.05991691655798629,0.6871572871572871,0.09128299844137067,0.6384560899817578,0.06903910573659294,22,__NA__
RandomForest,3,0.662566844919786,0.09276803377253713,0.6593073593073593,0.1902272290605558,0.5928619835623536,0.1321716429578576,22,__NA__
RandomForest,5,0.6923351158645277,0.07087080409849589,0.6566907166907168,0.18146026701120685,0.6074312605801431,0.1134513817927024,22,__NA__
ExtraTrees,5,0.6745098039215687,0.03245675560244481,0.6557383357383356,0.11153756026777642,0.5940129891893408,0.05522734468608613,22,__NA__
RandomForest,2,0.6563279857397505,0.0688264817667226,0.6197691197691197,0.18568191595855899,0.5698316096889257,0.12233979813299137,22,__NA__
LogisticRegression,2,0.6032085561497327,0.07302158128963467,0.6176238576238576,0.15547180442013972,0.5517372192476513,0.09303848125437003,22,__NA__
ExtraTrees,2,0.561319073083779,0.09656878168463616,0.5968638768638769,0.15832737211387696,0.5162303605501931,0.10820041317106076,22,__NA__
LogisticRegression,1,0.4971479500891266,0.057662611156772264,0.5421548821548821,0.0981373039996394,0.47250184219493685,0.034554731986242995,22,__NA__
RandomForest,1,0.5620320855614974,0.11701825149543059,0.4863588263588263,0.1465668391328734,0.4860681443138706,0.09904267579994669,22,__NA__
ExtraTrees,1,0.4672014260249554,0.07603576896888813,0.3935257335257335,0.09295408952780547,0.4206734690430343,0.05706227801046984,22,__NA__
ExtraTrees,40,0.902923976608187,0.04165614928305991,0.8646886446886448,0.06751258589813128,0.8736604136604136,0.0565517757899864,3,excitatory
LogisticRegression,40,0.8807017543859649,0.08894658023188695,0.8554945054945055,0.12633635379630292,0.8482403522403523,0.11987452346338003,3,excitatory
