model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
RandomForest,40,0.4375,0.07654655446197431,0.17708333333333331,0.03381358157454,0.17570203918888128,0.037299404932017007,10,excitatory,1
RandomForest,3,0.328125,0.027063293868263706,0.17689393939393938,0.0651548184504374,0.17998167767904608,0.05056498086872384,10,excitatory,1
RandomForest,10,0.8198830409356723,0.07770519411402614,0.5791666666666666,0.1130772228759326,0.5813795518207283,0.13028742565250262,10,inhibitory,1
LogisticRegression,10,0.724561403508772,0.11552335181160933,0.5770833333333333,0.1555679558549539,0.5641959319879231,0.13212031431132928,10,inhibitory,1
RandomForest,2,0.7549707602339182,0.10909842215149945,0.5687499999999999,0.09213893494789992,0.5626338435060545,0.11288371954727267,10,inhibitory,1
ExtraTrees,1,0.7017543859649122,0.09862083735126453,0.5645833333333333,0.13903811427886317,0.5432878242138531,0.12328350600460379,10,inhibitory,1
LogisticRegression,20,0.7444444444444445,0.12669425649751703,0.5625,0.15988819878624908,0.5445832009110652,0.1512023974767506,10,inhibitory,1
LogisticRegression,40,0.7771929824561403,0.05964912280701754,0.5541666666666666,0.09533384323872958,0.5362768817204302,0.09138187345043847,10,inhibitory,1
ExtraTrees,2,0.7228070175438597,0.12325731979123015,0.5499999999999999,0.11569536147429016,0.5500157910604158,0.12507915424160082,10,inhibitory,1
RandomForest,3,0.7549707602339181,0.09841950636917626,0.5416666666666666,0.12447807705241379,0.5450261420677078,0.13202435459209358,10,inhibitory,1
LogisticRegression,3,0.6918128654970761,0.1380860142848008,0.5416666666666666,0.1866880568101654,0.5278332921352944,0.14634709054812978,10,inhibitory,1
ExtraTrees,10,0.8192982456140351,0.05309735421200547,0.5354166666666667,0.075863089400138,0.527132999827497,0.1060297692266302,10,inhibitory,1
LogisticRegression,2,0.6701754385964912,0.13471125488036817,0.5354166666666667,0.1963866297214078,0.5062845487845488,0.13517604106601644,10,inhibitory,1
ExtraTrees,20,0.8187134502923976,0.044073552471150336,0.5083333333333333,0.08159648344819223,0.49951680672268906,0.11074421166837377,10,inhibitory,1
RandomForest,20,0.764327485380117,0.09802258170646527,0.5041666666666667,0.1181453906563152,0.5103588222122706,0.12035269761223374,10,inhibitory,1
LogisticRegression,1,0.6596491228070175,0.15075474427326901,0.5020833333333333,0.20192218660772382,0.4686600545424075,0.13331637875421543,10,inhibitory,1
ExtraTrees,3,0.7543859649122806,0.09480179709548277,0.4979166666666666,0.12593401049756175,0.5175267379679144,0.14041770497473208,10,inhibitory,1
ExtraTrees,5,0.7982456140350878,0.07647191129018725,0.4958333333333333,0.09095366647059612,0.4925537942449707,0.11559676710917444,10,inhibitory,1
ExtraTrees,40,0.7859649122807018,0.07225003607710177,0.4895833333333333,0.09569736731546541,0.48882352941176466,0.11697454843981643,10,inhibitory,1
RandomForest,1,0.6701754385964912,0.05132890820465891,0.475,0.075863089400138,0.47012096774193546,0.06427650426237513,10,inhibitory,1
RandomForest,5,0.7339181286549709,0.12016085339986933,0.4583333333333333,0.11655500608916135,0.4701698744013735,0.12889940301857405,10,inhibitory,1
LogisticRegression,5,0.6608187134502923,0.14156395832643515,0.4416666666666666,0.13414466693337707,0.45336832223928997,0.1157822826872967,10,inhibitory,1
RandomForest,40,0.6906432748538012,0.06596532702785296,0.4333333333333333,0.09095366647059612,0.4402132419860451,0.08345036407727892,10,inhibitory,1
LogisticRegression,20,0.9555555555555555,0.041573970964154924,0.9466666666666667,0.061824123303304716,0.9268973462577467,0.06396468402031011,19,inhibitory,1
LogisticRegression,40,0.9333333333333333,0.06478835438717,0.8800000000000001,0.19160143817599884,0.8410322436184504,0.202414606740127,19,inhibitory,1
RandomForest,3,0.9209150326797386,0.026176450188889932,0.8728571428571428,0.06395151224456971,0.8631936425540431,0.03891312526702246,19,inhibitory,1
RandomForest,2,0.9091503267973856,0.02760615958423906,0.8657142857142857,0.06970296551338791,0.8461657279399215,0.04480769206542015,19,inhibitory,1
LogisticRegression,5,0.8751633986928106,0.05399183379885851,0.8447619047619048,0.12086611096599971,0.7963456801818871,0.0852574787384532,19,inhibitory,1
RandomForest,20,0.9098039215686274,0.04348247680648337,0.8395238095238096,0.06710062839546112,0.8421345292535504,0.06553728610817273,19,inhibitory,1
ExtraTrees,5,0.8869281045751635,0.06031514768658471,0.8257142857142858,0.11343332923530851,0.8055897120121258,0.09139875753621417,19,inhibitory,1
LogisticRegression,1,0.8398692810457516,0.08596697018278367,0.8238095238095239,0.10762326161155542,0.7697324323186392,0.10535525331385502,19,inhibitory,1
LogisticRegression,10,0.8745098039215685,0.0682560757675957,0.818095238095238,0.08126829115585175,0.800198189731004,0.08900848711278449,19,inhibitory,1
RandomForest,1,0.8516339869281045,0.048189042068409835,0.8047619047619048,0.11691421744322977,0.761910866910867,0.08544286240102957,19,inhibitory,1
RandomForest,5,0.8869281045751635,0.03418744269443664,0.799047619047619,0.08547055293784601,0.7944074460022736,0.061622282104189297,19,inhibitory,1
